host_cpu	sensor_count
0	3
2.93	9
4.17	14
5.27	18
6.52	22
7.73	26
7.54	29
8.96	32
9.31	35
10.6	38
11.1	41
11.45	43
11.43	46
12.29	48
11.6	51
14.03	53
14.07	55
14.6	57
14.66	59
16.42	61
17.72	64
17.28	66
16.43	67
27.31	69
15.15	71
18.07	73
18.79	75
20.35	76
18.11	78
20.45	80
19.08	82
22.03	83
17.4	85
22.13	86
23.39	88
22.73	90
24.23	91
23.19	93
21.95	94
29.77	96
21.93	97
24.8	98
25.59	100
25.78	101
25.57	103
25.78	104
25.22	105
27	107
27.72	108
26.01	109
26.52	111
28.79	112
26.48	113
27.6	114
35.96	116
29.91	117
28.84	118
28.46	119
28.97	120
28.44	122
30.08	123
31.15	124
31.65	125
30.37	126
29.23	128
29.58	129
30.59	130
31.93	131
31.94	132
31.34	133
33.31	134
34.08	135
34.66	137
31.88	138
35.83	139
28.99	140
35.57	141
32.54	142
34.94	143
32.72	144
34.71	145
36.22	146
35.25	147
34.33	148
35.61	149
34.86	150
34.57	151
36.2	152
36.06	153
36.98	154
37.05	155
36.53	156
40.05	157
32.88	158
37.83	159
39.33	160
40.84	161
36.56	162
39.13	163
39.26	164
39.39	165
40.75	166
41.41	167
38.2	168
41.53	169
38.72	170
42.02	171
35.33	171
39.94	172
41.79	173
42.31	174
40.05	175
41.52	176
49.06	177
42.26	178
43.07	179
43.76	179
38.84	180
42.97	181
42.08	182
43.72	183
42.06	184
44.1	185
45.55	185
46.57	186
38.46	187
44.28	188
44.58	189
44.69	190
43.32	190
45.11	191
44.31	192
45.34	193
45.54	194
47.29	194
43.7	195
43.61	196
42.02	197
49.36	198
46.67	199
47.15	199
47.05	200
47.84	201
46.45	202
48.32	202
49.15	203
48.27	204
46.86	205
48.39	205
48.82	206
46.91	207
46.35	208
48.82	208
50.08	209
51.1	210
48.75	210
48.01	211
48.43	212
48.54	213
50.24	213
32.73	214
50.19	215
57.8	216
48.37	216
54.25	217
49.51	218
51.38	218
55.45	219
48.71	220
51.93	220
50.91	221
50.92	222
51.58	223
54.63	223
48.35	224
48.18	225
49	225
53.05	226
54.04	227
53.97	227
52.97	228
57.73	229
52.42	229
56.42	230
50.33	231
55.47	231
53.93	232
50.76	233
55.5	233
54.76	234
55.7	235
57.55	235
50.92	236
55.88	237
55.92	237
55.67	238
56.93	239
55.75	239
56.99	240
54.97	240
55.33	241
57.11	242
56.24	242
40.63	243
54.67	244
56.14	244
50.18	245
57.47	246
51.39	246
56.41	247
57.39	247
59.44	248
60.9	249
57.16	249
57.66	250
60.97	251
57.73	251
60.35	252
56.47	252
66.65	253
57.11	254
59.66	254
54.6	255
60.93	255
52.9	256
60.37	257
59.05	257
61.15	258
61.25	258
61.31	259
58.19	260
59.72	260
61.56	261
59.65	261
57.53	262
64.08	263
63.59	263
58.66	264
58.74	264
58.78	265
62.38	265
61.15	266
61.3	267
62.76	267
57.63	268
61.79	268
55.15	269
64.44	270
55.37	270
63.34	271
59.88	271
65.91	272
65.08	272
63.87	273
64.84	274
64.96	274
66.23	275
62.75	275
60.15	275
64.87	275
60.78	275
66.51	275
62.79	275
64.45	275
62.33	275
