host_cpu	sensor_count
0	2
3.91	8
4.14	13
5.55	17
5.89	21
7.96	25
8.82	28
8.36	32
9.17	35
10.33	37
11.08	40
11.96	43
10.97	45
12.57	48
13.13	50
13.71	52
14.56	54
14.75	57
14.82	59
14.88	61
14.78	63
18.19	65
17.33	67
17.6	69
16.22	71
20.51	72
18.3	74
19.6	76
19.63	78
20.11	79
21.68	81
22.45	83
20.66	84
21.73	86
22.33	88
23.56	89
25.58	91
24.85	92
22.98	94
24.31	95
24.87	97
26.09	98
24.39	100
31.53	101
24.37	102
33.13	104
23.55	105
28.29	106
25.31	108
27.53	109
27.83	110
31.86	112
26.52	113
27.12	114
28.24	115
29.13	117
29.19	118
25.61	119
30.04	120
29.05	122
30.56	123
28.16	124
31.05	125
31.5	126
30.65	128
28.63	129
32.67	130
28.92	131
33.36	132
30.69	133
39.53	134
30.62	136
33.86	137
34.05	138
32.41	139
31.66	140
34.54	141
33.21	142
34.21	143
35.52	144
34.78	145
35.15	146
37.38	147
35.32	148
36.9	150
34.48	151
37.51	152
37.24	153
37.7	154
34.37	155
36.47	155
37.16	156
40.06	157
39.79	158
44.36	159
36.32	160
39.46	161
42.57	162
40.09	163
39.31	164
39.31	165
36.68	166
41.76	167
38.74	168
40.45	169
42.03	170
38.41	171
41.8	172
42.25	172
42.55	173
39.89	174
38.82	175
42.91	176
40.16	177
41.66	178
42.64	179
42.46	179
42.68	180
44.17	181
43.54	182
42.06	183
40.19	184
45.15	185
44.43	185
45.27	186
43.69	187
44.35	188
45.29	189
44.81	190
41.62	190
47.56	191
46.2	192
39.2	193
43.39	194
43.76	195
47.44	195
46.18	196
46.9	197
48.19	198
45.73	199
48.3	199
44.68	200
47.91	201
44.21	202
48.63	202
49.94	203
45.09	204
44.19	205
47.76	205
47.4	206
48.94	207
44.42	208
47.37	208
49.5	209
51.86	210
49.61	211
49.23	211
48.68	212
46.7	213
52.09	213
50.12	214
51.2	215
51.73	216
49.7	216
50.06	217
51.97	218
51.08	218
48.95	219
49.4	220
53.02	221
54.08	221
52.87	222
53.96	223
52.66	223
52.53	224
51.96	225
51.67	225
52.89	226
51.53	227
54.61	228
51.43	228
52.71	229
49.52	230
54.54	230
54.51	231
54.38	232
55.3	232
55.28	233
55.13	234
57.25	234
63.11	235
55.19	235
54.92	235
54.59	235
54.36	235
55.32	235
55.95	236
53.32	237
54.19	237
57.15	238
53.64	239
55.93	239
50.83	240
56.25	240
53.09	241
58.87	242
53.85	242
56.57	243
54.61	244
56.78	244
56.08	245
55.09	245
56.97	246
57.52	247
57.48	247
58.67	248
51.41	248
59.95	249
50.58	250
58.54	250
56.01	251
60.36	252
51.89	252
59.38	253
58.53	253
60.35	254
55.56	254
62.33	255
56.36	255
60.95	255
56.24	255
58.81	255
61.52	256
60.33	256
61.66	257
60.98	257
58.15	258
61.06	259
53.03	259
59.8	260
59.96	260
64.49	261
70.86	262
60.83	262
60.26	263
61.49	263
58.62	264
60.76	265
58.15	265
68.29	266
55.92	266
61.5	267
57.39	267
58.58	268
55.32	269
57.27	269
64.84	270
63.83	270
63.19	270
65.19	270
62.76	270
64.26	270
69.74	270
62.27	270
57.66	270
